_ID,_CX,_CY,IDDPTO,DEPARTAMEN,prov,PROVINCIA,CAPITAL,FUENTE,dep,departamentodomicilio,provinciadomicilio,casos,Employed,Males,Vulnerable_pop,Health_Insurance,Secondary_Education,Pop_Size,White,Assian,Black,Indigenous_Mestizo,Secondary_Education_1000_Inhab,White_1000_Inhab,Assian_1000_Inhab,Black_1000_Inhab,Indigenous_Mestizo_1000_Inhab,Days_Till_Attended,SD_Days_Till_Attended,prev_cronic_prov,prev_diferencial_prov_endes,prev_hipertension_prov_endes,prev_diabetes_prov_endes,prev_obesidad_prov_endes,Travel_Time_toHFacility_Hours,SD_TTtHFH,Waiting_Time_4Attention_Hours,SD_WT4AH,Indice_Pobreza_Compuesto,Life_Expectancy,area,ID_dep,departamento,muertes,Overcrowding,P001,P002,superficie_rural,area_urbana,Pop_Density,urban_pop,urban_proportion,area_urbana_2,Pop_Density_2,urban_proportion_3,area_urbana_3,Pop_Density_3,area_urbana_4,Pop_Density_4,logcasos,casos_1000_Inhab,muertes_1000_Inhab,logcasos1000,logmuertes1000,dominio,Natural_Region,Natural_Region1,Natural_Region2,Natural_Region3,logPD_1000
1,-77.77316667263145,-6.43705900558695,01,AMAZONAS,0101,CHACHAPOYAS,CHACHAPOYAS,INEI,01,AMAZONAS,CHACHAPOYAS,2109,421.01755,491.85672,193.42053,837.1167,14840,55506,2321,5,1344,38215,267.35849,41.8153,.090080351,24.213598,688.48413,3.3102899,9.4108963,484.55893,411.35788,101.21213,22.985615,143.77316,.40912408,.82797784,.12161849,.49298859,47.172291,63.489361,2907.998,01,AMAZONAS,23,11.253831,01,01,1378.238602932631,1529.7594,.036284138,44744,.80611104,2344.1694,.023678323,.2,581.59961,.095436789,626.01294,.088665903,7.6539693,37.995892,.41436961,3.6374781,-.88099694,sierra norte,sierra,0,1,0,.61477417
2,-78.40269193111445,-5.08745015514681,01,AMAZONAS,0102,BAGUA,BAGUA,INEI,01,AMAZONAS,BAGUA,8003,331.20108,501.99728,161.78137,867.42242,21614,74100,2022,1,1685,46648,291.68692,27.287449,.013495277,22.739542,629.52765,1.2021245,8.4244537,421.75339,402.89948,106.97115,37.833347,183.87015,.93206215,4.9712343,.10421161,.42311397,58.541904,58.10685,5791.9561,01,AMAZONAS,98,34.526718,01,02,2089.427962640009,3702.5281,.020013353,39230,.52941972,3066.3757,.024165336,.2,1158.3912,.063968025,560.73212,.13214867,8.9875717,108.0027,1.3225371,4.6821561,.27955192,selva,selva,0,0,1,1.5381339
3,-77.87309050524308,-5.683441116665563,01,AMAZONAS,0103,BONGARA,JUMBILLA,INEI,01,AMAZONAS,BONGARA,369,414.20602,501.26767,196.31783,828.88013,7214,25637,948,0,672,17680,281.39017,36.977806,0,26.212116,689.6283,.20471096,.73551905,433.50967,421.16748,99.20549,53.435619,169.88722,.80495495,1.7772346,.057442348,.27928007,55.300247,62.325844,2833.6621,01,AMAZONAS,10,19.326763,01,03,1665.231158750143,1168.4309,.021941392,15786,.61575067,1744.8293,.014693127,.2,566.73242,.045236517,389.05432,.065895684,5.9107966,14.39326,.39006123,2.66676,-.94145155,selva,selva,0,0,1,2.5412397
4,-78.03859123605106,-4.166722452026623,01,AMAZONAS,0104,CONDORCANQUI,SANTA MARIA DE NIEVA,INEI,01,AMAZONAS,CONDORCANQUI,3343,174.4761,496.1149,83.023308,863.36237,10254,42470,44,0,304,23963,241.44102,1.0360254,0,7.1579938,564.23358,.02526455,.082323633,171.80569,312.29999,64.247299,19.249685,37.727394,.69999999,.80165094,.061266296,.19147408,78.74131,35.090908,17865.865,01,AMAZONAS,22,53.623188,01,04,8948.751909601986,8917.1133,.004762752,7153,.16842477,3009.0542,.01411407,.2,3573.1731,.011885794,304.5806,.13943765,8.114624,78.714386,.5180127,4.3658261,-.65775549,selva,selva,0,0,1,-1.9051254
5,-78.07782932514074,-6.323334641385375,01,AMAZONAS,0105,LUYA,LAMUD,INEI,01,AMAZONAS,LUYA,441,330.97037,508.28159,201.00818,900.53113,10899,44436,1203,0,671,30554,245.27411,27.072643,0,15.100369,687.59564,.088096067,.73418421,446.63489,403.20822,118.02407,21.257835,124.4315,.37805557,.52032447,.060587902,.2515412,61.06966,66.166199,3306.824,01,AMAZONAS,11,13.808515,01,05,1207.61579081166,2099.2083,.021167981,19437,.4374156,1446.4564,.030720593,.2,661.36481,.067188337,422.92078,.10506932,6.089045,9.924386,.24754703,2.2949951,-1.3961546,sierra norte,sierra,0,1,0,.99821687
6,-77.45438349347505,-6.373150338497561,01,AMAZONAS,0106,RODRIGUEZ DE MENDOZA,MENDOZA,INEI,01,AMAZONAS,RODRIGUEZ DE MENDOZA,91,384.62564,519.16797,200.28003,812.08746,7043,29998,1511,4,686,19552,234.78232,50.370026,.13334222,22.868191,651.77679,.022805959,.056707025,552.49072,443.55759,135.61525,16.000816,104.54617,.62246376,1.3805749,.13034038,.41296214,61.271637,69.338913,2582.335,01,AMAZONAS,6,15.390489,01,06,990.1863552763663,1592.1486,.018841207,9970,.3323555,858.25323,.034952387,.2,516.46698,.058083095,361.08606,.083077148,4.5108595,3.0335355,.20001334,1.1097288,-1.6093712,selva,selva,0,0,1,-5.735477
7,-78.32839245276442,-5.77048982387947,01,AMAZONAS,0107,UTCUBAMBA,BAGUA GRANDE,INEI,01,AMAZONAS,UTCUBAMBA,3651,357.7963,510.03848,171.34012,866.91156,30746,107237,4421,4,4096,69812,286.71075,41.226444,.037300557,38.19577,651.00665,.63397437,3.3661535,434.17499,452.1366,115.22643,21.753096,138.76312,.39196581,.57687724,.10393419,.42565116,56.90794,61.961353,3985.8311,01,AMAZONAS,73,28.889313,01,07,1171.362963540233,2814.468,.038102049,55699,.51940095,2070.2444,.051799197,.2,797.1662,.13452277,664.43317,.16139622,8.2027559,34.046085,.68073517,3.527715,-.38458192,selva,selva,0,0,1,-3.0944037
8,-77.64612728661496,-9.561116367676403,02,ANCASH,0201,HUARAZ,HUARAZ,INEI,02,ANCASH,HUARAZ,6535,389.24948,488.59921,188.63458,803.09998,47884,163936,4286,18,182,122828,292.0896,26.144348,.10979895,1.1101893,749.24359,1.2237953,4.8371615,482.85443,372.5567,44.161861,27.010937,163.76779,.32437643,.28377801,.15164635,.50840616,43.318855,67.522911,2506.979,02,ANCASH,181,14.42686,02,01,829.8409646630701,1677.1381,.097747467,130012,.79306561,1988.1989,.082454532,.2,501.39581,.32695925,1437.835,.11401587,8.7849274,39.863117,1.1040894,3.6854515,.099020906,sierra centro,sierra,0,1,0,-.56759942
9,-77.67747234161891,-9.784520045765605,02,ANCASH,0202,AIJA,AIJA,INEI,02,ANCASH,AIJA,78,389.80368,513.29956,247.7834,916.71942,1987,6316,108,0,4,4745,314.59784,17.09943,0,.63331223,751.2666,.3449074,.99567294,481.63239,580.55945,72.13028,0,241.58543,.74074072,1.0311506,.15000001,.53406674,65.036491,71.19091,695.46503,02,ANCASH,3,13.915213,02,02,249.2920845709904,446.17294,.014155946,2189,.34658012,241.03435,.026203735,.2,139.093,.045408469,277.85501,.02273128,4.356709,12.349588,.47498417,2.5136228,-.74447381,sierra centro,sierra,0,1,0,-.76181984
10,-77.05331271781942,-9.131885633234754,02,ANCASH,0203,ANTONIO RAYMONDI,LLAMELLIN,INEI,02,ANCASH,ANTONIO RAIMONDI,53,224.10255,492.45419,215.53114,931.79486,4178,13650,223,0,15,9475,306.0806,16.336996,0,1.0989012,694.13922,.029305557,.022873014,377.02994,430.8703,84.536819,21.69743,173.55658,1.3077778,1.2097443,.19544025,.42424244,66.826103,67.789719,558.89001,02,ANCASH,0,10.058569,02,03,120.6403150068223,438.24969,.031146627,5359,.39260074,219.42064,.062209278,.2,111.77801,.12211704,314.49786,.043402519,3.9702919,3.8827839,0,1.3565524,,sierra centro,sierra,0,1,0,
11,-77.39878000229942,-9.189867892828181,02,ANCASH,0204,ASUNCION,CHACAS,INEI,02,ANCASH,ASUNCION,56,258.87775,477.36514,248.30577,908.9184,2233,7378,180,0,3,5415,302.65656,24.396856,0,.40661424,733.93872,.053717323,.042986155,580.26147,309.94669,53.509209,0,118.22375,1.0696079,.79408044,.40367648,.9771173,65.746742,65.729164,527.76001,02,ANCASH,0,9.3259859,02,04,108.4922290754481,419.26779,.017597346,2236,.30306315,159.94461,.04612847,.2,105.552,.069899194,301.38443,.024480361,4.0253515,7.5901327,0,2.026849,,sierra centro,sierra,0,1,0,
12,-77.14803648325197,-10.1072280692326,02,ANCASH,0205,BOLOGNESI,CHIQUIAN,INEI,02,ANCASH,BOLOGNESI,215,377.23242,511.78717,227.17149,817.91821,8247,23797,845,5,78,16660,346.55627,35.508678,.21011052,3.277724,700.08826,.03824405,.045411706,490.1199,426.45682,87.350815,79.857841,175.83566,.61309522,.77167201,.14506173,.57293981,59.076534,69.7192,3127.042,02,ANCASH,13,14.456658,02,05,1024.105239402817,2102.9368,.01131608,17530,.73664749,2303.5276,.010330677,.2,625.40839,.038050339,339.87262,.070017405,5.3706379,9.0347519,.54628736,2.2010784,-.60461015,sierra centro,sierra,0,1,0,.88298804
13,-77.56854283205246,-9.290131900411705,02,ANCASH,0206,CARHUAZ,CARHUAZ,INEI,02,ANCASH,CARHUAZ,533,317.30258,482.16183,204.20946,890.91272,12158,45184,708,1,200,34296,269.07755,15.669264,.022131728,4.4263458,759.02972,.039440885,.041510176,497.01581,410.4682,52.494244,11.144248,190.69911,.49102566,.65908903,.18447971,.56375206,63.396011,67.471649,813.33899,02,ANCASH,18,11.428995,02,06,388.6916923951218,424.64731,.1064036,20725,.45868006,373.06238,.12111647,.2,162.6678,.27776855,392.33618,.11516654,6.2785215,11.796211,.3983711,2.4677784,-.92037129,sierra centro,sierra,0,1,0,-.11974185
14,-77.24167605774697,-9.044147401444732,02,ANCASH,0207,CARLOS FERMIN FITZCARRALD,SAN LUIS,INEI,02,ANCASH,CARLOS FERMIN FITZCARRALD,56,206.35548,475.92709,230.96461,946.43561,4561,17717,170,0,4,12309,257.43637,9.5953035,0,.22577186,694.75647,.4375563,2.4607997,492.7673,430.8703,84.536819,21.69743,173.55658,.7211712,.64915246,.2228836,.51506948,70.330444,63.286232,626.98499,02,ANCASH,1,10.945743,02,07,272.6127009181957,354.37228,.049995445,5731,.32347462,202.81372,.087356023,.2,125.397,.14128728,196.98273,.089941896,4.0253515,3.1608059,.056442965,1.1508271,-2.8745246,sierra centro,sierra,0,1,0,-8.2647791
15,-78.18616997623306,-9.48470857307783,02,ANCASH,0208,CASMA,CASMA,INEI,02,ANCASH,CASMA,947,403.67529,500.08829,194.25758,749.88721,18854,50989,2696,33,1956,33687,369.76602,52.874149,.64719844,38.361214,660.67194,5.9751263,21.652817,448.77258,322.35815,68.406151,35.912045,220.2021,.45606062,1.0452733,.19196428,.54817033,47.984444,68.84375,2270.8301,02,ANCASH,70,9.6528645,02,08,180.392023960473,2090.438,.024391539,40447,.79324955,1801.335,.028306229,.2,454.16602,.11226952,520.11664,.098033778,6.8532991,18.572634,1.3728452,2.9216893,.31688535,costa centro,costa,1,0,0,2.2332063
16,-77.88184370198555,-8.567618920532897,02,ANCASH,0209,CORONGO,CORONGO,INEI,02,ANCASH,CORONGO,33,290.7594,509.42648,256.10727,815.85236,2244,7532,307,1,71,5361,297.92883,40.759426,.13276686,9.4264469,711.76312,.0096296296,.0076518049,314.28574,430.8703,84.536819,21.69743,173.55658,.27888888,.17153215,.16714285,.32088229,61.835243,70.059525,1015.118,02,ANCASH,3,9.5577745,02,09,667.3400599952229,347.77792,.021657499,4586,.60886884,618.07373,.012186249,.2,203.02361,.037099134,239.55568,.031441543,3.4965076,4.3813066,.39830059,1.477347,-.92054832,sierra centro,sierra,0,1,0,-1.0019573
17,-77.08159540184506,-9.433509649044218,02,ANCASH,0210,HUARI,HUARI,INEI,02,ANCASH,HUARI,250,299.02579,520.59131,201.17859,928.99475,17739,58714,1269,8,19,42554,302.12555,21.613243,.1362537,.32360256,724.76752,.030084327,.026113365,343.0426,466.55551,31.401276,23.985312,145.42377,.76547617,.87173259,.1826892,.50578326,65.946213,66.926529,2790.2229,02,ANCASH,20,15.606228,02,10,793.5948611885609,1996.6281,.029406579,23950,.40790954,1138.1586,.051586837,.2,558.04462,.10521381,475.5134,.12347496,5.521461,4.2579284,.34063426,1.4487828,-1.0769459,sierra centro,sierra,0,1,0,-1.3309915
18,-77.92674183892113,-10.09395726458547,02,ANCASH,0211,HUARMEY,HUARMEY,INEI,02,ANCASH,HUARMEY,1490,428.59949,508.63873,200.81805,755.46466,12215,30560,1663,17,1045,20496,399.70551,54.417538,.5562827,34.195026,670.6806,.7370581,1.5127547,479.27536,357.73495,120.34078,62.882484,291.08871,1.2462121,4.2687092,.12873931,.48760101,44.118629,69.809631,3917.7461,02,ANCASH,27,10.985562,02,11,1006.588303525485,2911.1577,.010497542,24912,.81518322,3193.6809,.0095688961,.2,783.54926,.039002016,399.78748,.076440617,7.3065314,48.756546,.88350785,3.8868394,-.12385511,costa centro,costa,1,0,0,-.30199844
19,-77.82820654913613,-8.943321080518613,02,ANCASH,0212,HUAYLAS,CARAZ,INEI,02,ANCASH,HUAYLAS,1145,332.60608,490.59103,196.47797,876.78729,12906,51334,2100,2,605,36372,251.41232,40.908558,.038960531,11.785562,708.53625,.02576885,.023958262,479.69608,528.5448,0,0,174.41246,.41369048,.38967881,.12959184,.36698425,60.594028,67.212738,2286.6211,02,ANCASH,30,11.479014,02,12,671.2768976447614,1615.3442,.031778984,19640,.38259244,874.84393,.058677893,.2,457.32422,.11224859,302.97342,.16943401,7.04316,22.304905,.58440799,3.1048067,-.53715593,sierra centro,sierra,0,1,0,1.2510387
20,-77.34013725729307,-8.870069169616526,02,ANCASH,0213,MARISCAL LUZURIAGA,PISCOBAMBA,INEI,02,ANCASH,MARISCAL LUZURIAGA,147,140.30763,479.1954,207.15836,958.34155,5274,20284,652,0,16,14204,260.00787,32.143562,0,.78879905,700.25635,.040379904,.03391793,461.16171,430.8703,84.536819,21.69743,173.55658,.57107842,.75687987,.18987539,.48083696,74.30954,68.293945,736.11603,02,ANCASH,3,16.957443,02,13,152.5696634660102,583.54639,.034759875,3049,.15031552,110.64967,.18331732,.2,147.22321,.13777719,216.83008,.09354791,4.9904327,7.2470913,.14789982,1.9806002,-1.9112201,sierra centro,sierra,0,1,0,-2.7194977
